timestamp,station_id,temperature,temperature_corrected,pressure,pressure_corrected,humidity,humidity_corrected,anomaly_score,confidence,severity,root_cause_label,is_flagged,is_anomaly,anomaly_type
2026-08-29 04:00:00,AWS_GURGAON,27.7,27.7,975.8,975.8,78.0,78.0,0.001907070068736177,0.0009535350343680885,Normal,none,False,False,none
2026-08-29 04:00:00,AWS_BLR,19.7,19.7,910.6,910.6,95.0,95.0,0.007735934058381757,0.0038679670291908784,Normal,none,False,False,none
2026-08-29 05:00:00,AWS_BLR,20.1,20.1,911.0,911.0,92.0,92.0,0.009233144347843303,0.004616572173921652,Normal,none,False,False,none
2026-08-29 05:00:00,AWS_JAISALMER,24.6,24.6,975.3,975.3,86.0,86.0,0.011447230481492378,0.005723615240746189,Normal,none,False,False,none
2026-08-29 05:00:00,AWS_SHIMLA,17.9,20.7,805.6,806.8,97.0,82.0,0.23329950598069918,0.28331641965701626,Low,Sensor fault: reading outside physically possible range,True,False,none
2026-08-29 05:00:00,AWS_DELHI,28.2,28.2,976.6,976.6,78.0,78.0,0.03033335288272839,0.015166676441364196,Normal,Localized fault: disagrees with neighboring stations,False,False,none
2026-08-29 05:00:00,AWS_GURGAON,28.0,28.0,975.9,975.9,78.0,78.0,0.003005380758385786,0.001502690379192893,Normal,none,False,False,none
2026-08-29 05:00:00,AWS_KOCHI,25.6,25.6,1010.9,1010.9,93.0,93.0,0.0034734086173968328,0.0017367043086984164,Normal,none,False,False,none
2026-08-29 05:00:00,AWS_NOIDA,28.7,28.7,978.1,978.1,77.0,77.0,0.02184653774182325,0.010923268870911626,Normal,none,False,False,none
2026-08-29 06:00:00,AWS_SHIMLA,18.0,20.7,805.9,806.55,98.0,85.0,0.23061395470269927,0.2819736440180163,Low,Sensor fault: reading outside physically possible range,True,False,none
2026-08-29 06:00:00,AWS_BLR,20.0,20.0,911.4,911.4,93.0,93.0,0.004622270380619869,0.0023111351903099347,Normal,none,False,False,none
2026-08-29 06:00:00,AWS_JAISALMER,24.2,24.2,975.8,975.8,88.0,88.0,0.017519162940971087,0.008759581470485544,Normal,Unclassified multivariate anomaly (novel pattern flagged by ML),False,False,none
2026-08-29 06:00:00,AWS_DELHI,27.9,27.9,977.2,977.2,78.0,78.0,0.026084585544945294,0.013042292772472647,Normal,none,False,False,none
2026-08-29 06:00:00,AWS_GURGAON,27.6,27.6,976.5,976.5,78.0,78.0,0.001165684091285746,0.000582842045642873,Normal,none,False,False,none
2026-08-29 06:00:00,AWS_NOIDA,28.3,28.3,978.7,978.7,78.0,78.0,0.020258308273733705,0.010129154136866853,Normal,none,False,False,none
2026-08-29 06:00:00,AWS_KOCHI,25.6,25.6,1011.5,1011.5,92.0,92.0,0.002783626339075996,0.001391813169537998,Normal,none,False,False,none
2026-08-29 07:00:00,AWS_DELHI,28.5,28.5,977.5,977.5,75.0,75.0,0.019685018193184575,0.009842509096592287,Normal,none,False,False,none
2026-08-29 07:00:00,AWS_KOCHI,26.5,26.5,1012.0,1012.0,86.0,86.0,0.007377727654244304,0.003688863827122152,Normal,none,False,False,none
2026-08-29 07:00:00,AWS_GURGAON,28.1,28.1,976.8,976.8,77.0,77.0,0.013373905054378547,0.0066869525271892735,Normal,none,False,False,none
2026-08-29 07:00:00,AWS_NOIDA,28.8,28.8,979.0,979.0,76.0,76.0,0.01988282865069845,0.009941414325349226,Normal,none,False,False,none
2026-08-29 07:00:00,AWS_SHIMLA,19.1,20.7,806.8,806.3,92.0,88.0,0.24736617712025982,0.29034975522679657,Low,Sensor fault: reading outside physically possible range,True,False,none
2026-08-29 07:00:00,AWS_JAISALMER,24.6,24.6,976.4,976.4,86.0,86.0,0.014736914424393267,0.007368457212196634,Normal,none,False,False,none
